educ_occ_score,median_mortgage_repayment,main_state
NA,NA,NA
NA,NA,ACT
1030,14244,VIC
1030,16800,VIC
1030,18204,QLD
1030,18204,TAS
1030,22800,VIC
1030,24000,WA
1030,36396,WA
1031,5004,NSW
1031,17520,VIC
1031,19236,VIC
1031,20280,NSW
1031,22800,QLD
1031,24000,WA
1031,26004,NSW
1031,28500,NSW
1032,9984,WA
1032,10404,VIC
1032,14112,VIC
1032,16896,SA
1032,17880,VIC
1032,19200,VIC
1032,20796,NSW
1032,21204,SA
1032,22104,VIC
1032,23400,QLD
1032,30000,NSW
1033,NA,VIC
1033,6504,VIC
1033,12000,SA
1033,16452,TAS
1033,21600,VIC
1034,7968,WA
1034,10404,WA
1034,11916,WA
1034,15600,VIC
1034,16524,VIC
1034,16800,VIC
1034,18000,NSW
1034,19500,SA
1034,21120,QLD
1034,21600,QLD
1034,23400,VIC
1034,24000,WA
1035,NA,WA
1035,14400,VIC
1035,14952,NSW
1035,15600,VIC
1035,20676,VIC
1035,21840,QLD
1035,22800,QLD
1035,24000,WA
1035,24696,NSW
1035,30000,NSW
1036,9096,VIC
1036,23400,NT
1036,24000,NSW
1036,26004,NSW
1037,NA,NT
1037,NA,WA
1037,12348,SA
1037,15600,VIC
1037,23400,QLD
1037,24600,QLD
1037,31716,NSW
1038,NA,QLD
1038,21600,VIC
1038,22140,VIC
1038,23400,QLD
1038,23400,VIC
1038,24000,ACT
1038,26004,NSW
1038,27684,NSW
1038,29532,NSW
1039,NA,QLD
1039,NA,SA
1039,NA,WA
1039,2400,SA
1039,14400,VIC
1039,17424,VIC
1039,19224,SA
1039,20796,NSW
1039,24396,QLD
1039,26400,NSW
1040,NA,WA
1040,5160,WA
1040,11184,VIC
1040,13368,VIC
1040,17556,VIC
1040,18720,QLD
1040,19764,SA
1040,20796,QLD
1040,24000,QLD
1040,24312,NSW
1040,24444,WA
1040,28596,NSW
1041,10404,VIC
1041,11052,VIC
1041,20796,SA
1041,21264,VIC
1041,23400,QLD
1041,27600,NSW
1041,28704,NSW
1042,12996,TAS
1042,18108,VIC
1042,19800,QLD
1042,20796,SA
1042,21600,NSW
1042,24000,NSW
1042,26004,WA
1043,NA,QLD
1043,16800,VIC
1043,20796,VIC
1043,23760,NSW
1043,24000,WA
1044,19200,TAS
1044,20856,VIC
1044,24000,ACT
1044,24000,VIC
1044,24696,QLD
1045,NA,NT
1045,13920,VIC
1045,14532,VIC
1045,20796,QLD
1045,24000,QLD
1045,26004,NSW
1045,26004,NT
1045,31200,NSW
1046,NA,WA
1046,5724,VIC
1046,6120,WA
1046,10404,VIC
1046,11832,VIC
1046,12000,SA
1046,19104,NSW
1046,23400,VIC
1046,23844,VIC
1046,26004,NSW
1047,5196,WA
1047,7500,VIC
1047,15600,VIC
1047,18720,VIC
1047,22200,VIC
1047,22800,SA
1047,23400,NSW
1047,26004,NSW
1047,26400,VIC
1048,NA,SA
1048,NA,WA
1048,10404,WA
1048,19236,TAS
1048,20796,SA
1048,21996,SA
1048,23400,QLD
1048,23400,VIC
1048,24000,QLD
1049,11856,VIC
1049,15600,VIC
1049,18204,TAS
1049,18660,VIC
1049,21972,QLD
1049,26004,NSW
1049,26004,VIC
1050,3900,VIC
1050,9156,VIC
1050,15084,WA
1050,20520,SA
1050,20796,TAS
1050,24000,VIC
1050,24372,WA
1050,25284,WA
1050,26400,NSW
1051,NA,WA
1051,6960,SA
1051,15000,VIC
1051,18720,VIC
1051,19740,SA
1051,20796,NSW
1051,20796,SA
1051,21948,QLD
1052,5520,WA
1052,23400,WA
1052,26004,QLD
1052,27600,NSW
1053,10404,NSW
1053,19500,SA
1053,20796,SA
1053,24000,VIC
1054,2196,VIC
1054,2988,NSW
1054,5976,NSW
1054,24000,VIC
1054,25872,VIC
1054,26004,VIC
1055,5724,VIC
1055,20796,VIC
1055,24000,VIC
1056,7104,SA
1056,8676,QLD
1056,18204,VIC
1056,18456,VIC
1056,31200,NSW
1056,33804,QLD
1057,NA,VIC
1057,7200,NSW
1057,20280,VIC
1057,23400,NSW
1057,24000,QLD
1057,25200,VIC
1057,26400,NSW
1058,5196,VIC
1058,7152,VIC
1058,16140,VIC
1058,20796,NSW
1058,22800,VIC
1058,24000,NSW
1058,24000,VIC
1058,26004,NSW
1059,NA,WA
1059,15600,VIC
1059,18000,SA
1059,18720,NSW
1059,21120,NSW
1059,24000,VIC
1060,5964,SA
1060,8712,VIC
1060,10320,VIC
1060,18204,TAS
1060,22356,VIC
1061,NA,WA
1061,4044,WA
1061,6900,VIC
1061,22800,NSW
1061,23292,VIC
1061,24000,WA
1062,NA,QLD
1062,NA,WA
1062,24768,WA
1063,20796,NSW
1063,23400,NSW
1063,23400,VIC
1063,24000,ACT
1063,24000,WA
1063,25200,WA
1063,28800,NSW
1064,16800,VIC
1064,20796,SA
1064,21600,VIC
1064,24000,VIC
1065,NA,WA
1065,16404,WA
1065,17136,VIC
1065,18204,TAS
1065,20400,VIC
1065,21600,SA
1065,21840,VIC
1065,23400,VIC
1065,24000,QLD
1065,24000,VIC
1065,28596,NSW
1066,16116,TAS
1066,16800,SA
1066,22800,VIC
1066,24000,ACT
1066,24000,NSW
1066,24000,QLD
1066,24000,VIC
1066,24600,WA
1067,3480,WA
1067,16800,SA
1067,18204,TAS
1067,22416,SA
1067,22800,WA
1067,24696,QLD
1067,27600,NSW
1067,29880,NSW
1068,12996,WA
1068,13800,VIC
1068,19500,NSW
1068,20796,NSW
1068,23400,VIC
1068,30888,NSW
1069,21156,SA
1069,22800,QLD
1069,23400,NSW
1069,24000,VIC
1070,NA,SA
1070,NA,WA
1070,10368,WA
1070,20004,WA
1070,21684,QLD
1070,23508,NSW
1070,24000,NSW
1071,24000,VIC
1071,29904,NSW
1072,17676,TAS
1072,20796,VIC
1072,23688,VIC
1072,24000,QLD
1072,24000,VIC
1072,31200,NSW
1073,19620,VIC
1073,21600,NSW
1073,24000,NSW
1073,24000,SA
1073,24000,VIC
1074,NA,WA
1074,5196,WA
1074,19200,SA
1074,20796,NSW
1074,22104,VIC
1074,22884,SA
1074,23400,SA
1074,23400,WA
1074,26004,NSW
1074,27456,NSW
1074,28596,NSW
1074,30000,NSW
1075,23400,SA
1075,23904,VIC
1075,26004,NSW
1076,NA,NSW
1076,NA,VIC
1076,12480,VIC
1076,14688,VIC
1076,18204,VIC
1076,20796,SA
1076,21324,SA
1076,24696,NSW
1076,25896,NSW
1076,26160,VIC
1077,NA,NT
1077,NA,WA
1077,5460,TAS
1077,20796,SA
1077,24696,NSW
1077,26004,NSW
1077,26004,WA
1077,28800,NSW
1077,31200,NSW
1078,NA,WA
1078,24000,VIC
1078,26004,VIC
1079,19488,VIC
1079,20796,VIC
1079,24000,QLD
1079,27300,NSW
1079,31200,NSW
1080,NA,WA
1080,12000,VIC
1080,23400,ACT
1080,24000,VIC
1080,24744,VIC
1081,7800,NSW
1081,10404,SA
1081,20880,NSW
1081,24000,VIC
1081,25404,VIC
1082,24540,WA
1082,28260,NSW
1083,23700,VIC
1083,24000,QLD
1083,24000,VIC
1083,26004,NSW
1083,26400,WA
1083,31200,NSW
1084,NA,WA
1084,23952,QLD
1084,24000,WA
1084,25548,QLD
1084,31200,NSW
1084,33600,NSW
1085,21024,VIC
1085,21672,SA
1085,27852,NT
1086,NA,WA
1086,7776,WA
1086,20796,SA
1086,20796,VIC
1086,24000,NSW
1086,25200,VIC
1086,26004,WA
1087,NA,QLD
1087,NA,VIC
1087,NA,WA
1087,6504,WA
1087,8364,SA
1087,22104,NSW
1087,24000,VIC
1088,NA,WA
1088,12000,WA
1088,20796,VIC
1088,22104,NSW
1088,22596,VIC
1088,26004,QLD
1088,27300,QLD
1088,28596,NSW
1089,23760,VIC
1089,26004,NT
1089,26004,WA
1090,NA,VIC
1090,5916,VIC
1090,24000,VIC
1090,26004,QLD
1090,28404,NSW
1090,32400,NSW
1091,10404,VIC
1091,22296,SA
1091,26004,VIC
1091,26004,WA
1091,27432,VIC
1091,28800,NSW
1091,30000,NSW
1091,35460,NSW
1092,NA,VIC
1092,28596,NSW
1093,23400,SA
1093,31200,NSW
1094,4548,WA
1094,20796,VIC
1094,24000,VIC
1094,26004,SA
1094,31200,NSW
1095,28104,NSW
1096,NA,NT
1096,21600,VIC
1096,26004,WA
1096,27600,NSW
1096,28596,NSW
1096,31200,NSW
1097,26004,NSW
1097,28164,WA
1097,28800,NSW
1097,29328,QLD
1097,32532,NSW
1098,21792,VIC
1098,23400,VIC
1098,24000,VIC
1099,NA,NSW
1099,3300,NSW
1099,23868,VIC
1099,24000,VIC
1099,25200,VIC
1099,26004,VIC
1099,28068,WA
1100,24000,VIC
1100,24648,VIC
1100,25476,ACT
1100,26004,WA
1100,28200,NSW
1101,11568,VIC
1101,24000,VIC
1101,26004,NSW
1101,32736,NSW
1102,24000,SA
1103,24444,ACT
1103,26004,VIC
1104,24000,VIC
1104,26004,QLD
1104,30000,NSW
1105,24000,QLD
1105,30000,NSW
1106,NA,VIC
1106,9600,VIC
1106,13200,QLD
1106,20484,SA
1106,24468,ACT
1106,25752,QLD
1106,26004,VIC
1106,27096,QLD
1106,31200,NSW
1107,22104,SA
1107,22992,SA
1107,26400,QLD
1107,36000,NSW
1108,19800,ACT
1108,24696,VIC
1108,25200,QLD
1108,26004,VIC
1108,28476,QLD
1109,24000,QLD
1109,24492,WA
1109,26004,WA
1109,26520,WA
1109,28800,VIC
1109,34800,NSW
1109,36000,NSW
1110,13872,VIC
1110,26004,WA
1111,20796,TAS
1111,20796,VIC
1111,23400,ACT
1111,25320,QLD
1112,26004,NSW
1113,19920,SA
1113,24000,QLD
1113,26004,NSW
1113,28596,NSW
1113,33804,NSW
1114,21600,VIC
1114,22848,VIC
1114,23448,VIC
1114,26004,QLD
1114,26004,VIC
1115,26004,VIC
1115,26952,SA
1115,28344,NSW
1115,28800,WA
1116,24756,QLD
1116,26520,WA
1117,22548,VIC
1117,24000,VIC
1117,26400,VIC
1117,30000,NSW
1117,33600,VIC
1117,36000,NSW
1118,22728,VIC
1118,23400,SA
1118,26004,WA
1118,26400,VIC
1118,32400,NSW
1119,19356,VIC
1119,25200,VIC
1119,26004,QLD
1119,28596,NSW
1120,24000,QLD
1120,36000,NSW
1121,24000,NSW
1122,23400,ACT
1122,24000,QLD
1122,26400,VIC
1123,20796,SA
1123,26004,VIC
1124,20796,VIC
1124,22356,SA
1124,24696,ACT
1124,27600,WA
1124,36000,NSW
1125,24000,NSW
1125,26004,QLD
1125,26004,VIC
1126,17160,VIC
1126,24000,SA
1126,24228,SA
1126,31800,WA
1127,18000,VIC
1127,25476,QLD
1127,26004,ACT
1127,26004,VIC
1127,36000,NSW
1128,24180,NSW
1128,24696,VIC
1128,30000,NSW
1128,30000,VIC
1129,20796,TAS
1129,26004,WA
1129,29484,NT
1129,30444,WA
1130,24000,WA
1130,27600,QLD
1130,30000,NSW
1131,21528,VIC
1131,24000,SA
1131,24600,VIC
1131,30000,VIC
1131,31200,NSW
1132,23244,SA
1132,24000,SA
1132,26004,ACT
1132,26004,VIC
1133,24000,SA
1133,26004,ACT
1133,30000,NSW
1134,21972,SA
1134,26004,QLD
1134,30000,VIC
1135,24000,VIC
1136,NA,QLD
1137,22800,TAS
1137,24000,SA
1137,26004,NSW
1137,27600,WA
1137,30000,WA
1138,23400,SA
1138,26112,VIC
1138,27600,VIC
1138,28596,NSW
1139,28596,NSW
1139,30000,VIC
1140,24000,VIC
1140,26004,SA
1140,30000,VIC
1141,24540,VIC
1141,26004,SA
1142,20400,VIC
1142,30000,NSW
1142,30000,WA
1142,31200,QLD
1143,30000,VIC
1143,33000,NSW
1144,21060,VIC
1144,26400,NSW
1144,29568,QLD
1144,31200,NSW
1144,36000,NSW
1145,18000,TAS
1145,32400,WA
1146,24000,VIC
1146,26004,VIC
1146,31200,NSW
1146,33804,NSW
1147,26004,NSW
1147,36000,NSW
1148,19500,TAS
1148,26004,VIC
1148,31164,NSW
1149,26004,ACT
1149,28800,VIC
1149,30000,VIC
1149,33600,NSW
1150,24000,SA
1150,26004,VIC
1151,24444,QLD
1151,26112,QLD
1151,28008,NSW
1151,34800,NSW
1152,20796,SA
1152,28596,WA
1152,30000,VIC
1153,24000,SA
1154,31200,QLD
1154,34740,NSW
1154,36000,NSW
1155,25200,SA
1155,27600,QLD
1155,28596,ACT
1156,NA,VIC
1156,29796,NSW
1156,36396,NSW
1158,30000,NSW
1158,33600,NSW
1159,23400,SA
1159,25704,VIC
1159,26400,QLD
1159,30000,VIC
1160,30000,VIC
1160,31200,NSW
1161,24072,VIC
1161,25200,QLD
1161,30456,WA
1161,31200,NSW
1161,35364,NSW
1161,36000,NSW
1161,42000,NSW
1162,26004,NSW
1162,26004,VIC
1162,26208,NA
1162,30000,VIC
1163,30000,ACT
1163,30000,NSW
1163,30156,VIC
1163,38400,NSW
1165,24000,VIC
1165,25200,NSW
1166,26004,VIC
1166,28200,VIC
1166,28800,QLD
1166,34956,VIC
1166,36000,NSW
1167,24000,VIC
1167,31200,NSW
1167,36000,NSW
1168,28296,VIC
1168,33600,NSW
1168,44400,NSW
1169,24000,VIC
1169,36000,NSW
1169,36000,VIC
1171,26004,ACT
1171,33804,WA
1172,30000,ACT
1172,32676,VIC
1172,36000,NSW
1172,36396,WA
1173,26004,VIC
1173,36000,NSW
1173,36000,VIC
1174,30000,WA
1174,36000,NSW
1175,28800,NSW
1175,34584,NSW
1175,36276,NSW
1178,24000,VIC
1180,26004,VIC
1180,41604,NSW
1181,31200,NSW
1182,19500,VIC
1183,24696,ACT
1183,30000,VIC
1183,42000,NSW
1184,39600,WA
1186,36000,NSW
1188,31200,ACT
1188,36000,NSW
1188,36396,NSW
1189,38676,NSW
1190,30000,NSW
1190,32244,NSW
1191,31200,NSW
1191,32040,NSW
1192,38700,WA
1194,36396,NSW
1195,36000,NSW
1197,26004,QLD
1198,36000,NSW
1201,30888,NSW
1204,26304,VIC
1204,32400,NSW
1206,30600,NSW
1234,26400,ACT
